date,latitude,longitude,rainfall_mm,year,data_flag
2019-06-01,39.954526,116.547189,0.0,2019,OK
2019-06-01,39.988918,116.393085,0.0,2019,OK
2019-06-01,39.906121,116.618658,0.0,2019,OK
2019-06-01,39.88677,116.32057,0.0,2019,OK
2019-06-01,39.84432,116.24102,0.0,2019,OK
2019-06-01,39.90671,116.436755,0.0,2019,OK
2019-06-01,39.831067,116.345443,0.0,2019,OK
2019-06-01,39.902702,116.571962,0.0,2019,OK
2019-06-01,39.830656,116.313016,0.0,2019,OK
2019-06-01,39.867612,116.271426,0.0,2019,OK
2019-06-01,39.832871,116.288638,0.0,2019,OK
2019-06-01,39.84392,116.25283,0.0,2019,OK
2019-06-01,39.83803,116.25133,0.0,2019,OK
2019-06-01,39.898579,116.653324,0.0,2019,OK
2019-06-01,39.891351,116.678817,0.0,2019,OK
2019-06-01,40.090761,116.660893,0.0,2019,OK
2019-06-01,40.069132,116.384865,0.0,2019,OK
2019-06-01,40.34096,116.57259,0.0,2019,OK
2019-06-01,40.32732,116.63634,0.0,2019,OK
2019-06-01,40.340813,116.750316,0.0,2019,OK
2019-06-01,40.34671,116.64293,0.0,2019,OK
2019-06-01,39.89635,116.29049,0.0,2019,OK
2019-06-01,40.107676,116.562609,0.0,2019,OK
2019-06-01,40.344046,116.567934,0.0,2019,OK
2019-06-01,40.028878,116.468059,0.0,2019,OK
2019-06-01,39.861699,116.271426,0.0,2019,OK
2019-06-01,39.854141,116.261096,0.0,2019,OK
2019-06-01,39.842625,116.257933,0.0,2019,OK
2019-06-01,39.774398,116.166069,0.0,2019,OK
2019-06-01,40.233214,116.358662,0.0,2019,OK
2019-06-01,39.98824,116.49855,0.0,2019,OK
2019-06-01,39.94431,116.48999,0.0,2019,OK
2019-06-01,39.987914,116.442261,0.0,2019,OK
2019-06-01,40.108571,116.638516,0.0,2019,OK
2019-06-01,40.295281,116.664272,0.0,2019,OK
2019-06-01,40.295281,116.648351,0.0,2019,OK
2019-06-01,40.406625,115.940856,0.0,2019,OK
2019-06-01,40.079204,116.333495,0.0,2019,OK
2019-06-01,39.845321,116.257168,0.0,2019,OK
2019-06-01,40.417545,115.940914,0.0,2019,OK
2019-06-01,39.682531,116.413385,0.0,2019,OK
2019-06-01,39.832381,116.41188,0.0,2019,OK
2019-06-01,39.903404,116.285473,0.0,2019,OK
2019-06-01,39.97912,116.478515,0.0,2019,OK
2019-06-01,39.984489,116.300067,0.0,2019,OK
2019-06-01,39.810888,116.204004,0.0,2019,OK
2019-06-01,39.837833,116.21258,0.0,2019,OK
2019-06-01,39.799393,116.223216,0.0,2019,OK
2019-06-01,39.929543,116.248293,0.0,2019,OK
2019-06-01,39.90071,116.328174,0.0,2019,OK
2019-06-01,39.85523,116.220412,0.0,2019,OK
2019-06-01,39.8857,116.300439,0.0,2019,OK
2019-06-01,40.026582,116.103672,0.0,2019,OK
2019-06-01,40.178113,116.423676,0.0,2019,OK
2019-06-01,40.033007,116.683391,0.0,2019,OK
2019-06-01,40.068865,116.330175,0.0,2019,OK
2019-06-01,40.400093,116.877933,0.0,2019,OK
2019-06-01,40.094656,116.551254,0.0,2019,OK
2019-06-01,39.704511,116.129163,0.0,2019,OK
2019-06-01,39.705649,116.229085,0.0,2019,OK
2019-06-01,39.903502,116.317032,0.0,2019,OK
2019-06-01,40.104259,116.154837,0.0,2019,OK
